ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
21051702	30.169808	-90.796712	1.978	-674.1	-181.6	325.9	48.5	54.9	34.8	2021	5	17	22	18	39.4	-1.8	0	0	85	0	-9.0	0.021	1
21051801	30.184511	-90.796794	2.676	-682.2	1448.3	1023.8	69.8	57.3	64.3	2021	5	18	2	45	7.0	0.36	0	0	45	0	-9.0	0.02	1
21061401	30.172168	-90.800513	1.283	-1040.2	80.0	-369.3	40.9	43.3	34.6	2021	6	14	2	39	6.45	-2.18	0	0	24	0	-9.0	0.017	1
21061402	30.183636	-90.794303	1.391	-442.0	1351.5	-261.6	66.3	66.2	60.3	2021	6	14	3	12	2.03	-1.68	0	0	49	0	-9.0	0.021	1
21062703	30.199654	-90.81215	0.822	-2160.5	3127.0	-829.9	135.9	95.5	73.6	2021	6	27	13	50	56.61	0.32	0	0	5	0	-9.0	0.013	1
21062704	30.178713	-90.796672	0.565	-670.3	805.6	-1087.3	71.1	29.8	25.5	2021	6	27	17	38	29.0	-1.34	0	0	12	0	-9.0	0.026	1
21070601	30.162455	-90.795109	1.044	-520.0	-996.6	-608.1	39.8	66.9	57.8	2021	7	6	19	38	30.82	-1.48	0	0	51	0	-9.0	0.027	1
21071301	30.194731	-90.810937	0.949	-2044.4	2581.3	-702.8	50.7	94.3	75.2	2021	7	13	18	52	2.84	-1.85	0	0	11	0	-9.0	0.018	1
21101101	30.174884	-90.78964	0.279	7.1	381.1	-1372.8	26.0	48.6	75.2	2021	10	11	16	22	52.11	-2.77	0	0	12	0	-9.0	0.016	1
21102702	30.173527	-90.795133	1.041	-521.9	230.8	-611.3	25.8	24.6	42.6	2021	10	27	22	2	57.6	-1.07	0	0	73	0	-9.0	0.024	1
22041001	30.168575	-90.789388	2.544	31.2	-318.2	891.6	49.7	50.3	23.8	2022	4	10	1	11	3.42	-1.52	0	0	192	0	-9.0	0.023	1
22041202	30.171047	-90.784652	0.197	487.7	-44.1	-1455.3	28.7	28.8	44.9	2022	4	12	23	27	2.42	-0.9	0	0	31	0	-9.0	0.019	1
22041303	30.178632	-90.78409	4.784	541.7	796.6	3132.0	66.5	74.6	44.5	2022	4	13	0	49	31.29	-0.66	0	0	112	0	-9.0	0.025	1
22041304	30.167893	-90.79707	0.24	-708.9	-393.7	-1412.1	41.1	45.7	31.3	2022	4	13	1	0	41.19	-2.43	0	0	29	0	-9.0	0.026	1
22041305	30.170408	-90.792765	1.672	-293.7	-115.0	20.0	26.4	36.9	48.4	2022	4	13	1	14	18.45	-1.13	0	0	171	0	-9.0	0.022	1
22041401	30.15813	-90.790535	1.472	-79.4	-1476.2	-180.2	46.3	55.4	38.3	2022	4	14	1	48	32.4	-2.66	0	0	92	0	-9.0	0.023	1
22041407	30.172042	-90.792261	2.363	-245.5	66.0	711.0	48.1	58.4	42.6	2022	4	14	5	10	18.5	-1.38	0	0	125	0	-9.0	0.023	1
22041408	30.179675	-90.780599	2.579	877.7	912.3	927.5	48.0	52.8	47.4	2022	4	14	5	10	19.13	-0.89	0	0	55	0	-9.0	0.017	1
22050601	30.178884	-90.790291	1.407	-55.5	824.6	-245.0	26.4	34.1	39.7	2022	5	6	3	38	31.67	-2.96	0	0	199	0	-9.0	0.023	1
22050602	30.172249	-90.791992	0.477	-219.3	89.1	-1174.9	30.3	33.1	28.9	2022	5	6	5	21	6.15	-2.37	0	0	52	0	-9.0	0.026	1
22051306	30.168766	-90.796517	1.18	-655.1	-297.1	-472.0	54.3	44.1	39.8	2022	5	13	21	42	21.6	-1.53	0	0	74	0	-9.0	0.027	1
22051307	30.172369	-90.803947	0.584	-1371.2	102.3	-1067.7	29.0	38.3	31.0	2022	5	13	22	32	23.98	-1.35	0	0	42	0	-9.0	0.019	1
22051308	30.160103	-90.80708	0.612	-1672.8	-1257.3	-1040.7	32.8	50.5	184.9	2022	5	13	22	32	24.24	-0.35	0	0	35	0	-9.0	0.026	1
22051309	30.156486	-90.81027	1.573	-1980.4	-1658.3	-79.6	57.0	42.5	33.4	2022	5	13	22	37	48.4	-0.56	0	0	70	0	-9.0	0.026	1
22051310	30.168583	-90.781632	1.6	778.4	-317.4	-51.9	71.2	65.0	62.3	2022	5	13	22	37	51.16	-1.65	0	0	23	0	-9.0	0.021	1
22051314	30.169582	-90.780884	3.228	850.2	-206.6	1576.7	41.1	54.4	40.0	2022	5	13	23	12	43.04	-0.58	0	0	114	0	-9.0	0.023	1
22051402	30.165853	-90.786019	0.563	356.1	-620.1	-1089.2	44.1	63.6	52.1	2022	5	14	7	26	48.74	-3.77	0	0	46	0	-9.0	0.024	1
22052102	30.174272	-90.801725	0.852	-1156.6	313.3	-800.4	33.2	37.8	48.0	2022	5	21	22	24	48.56	-0.94	0	0	37	0	-9.0	0.016	1
22052103	30.174021	-90.790584	1.393	-84.2	285.6	-259.1	45.5	34.0	41.0	2022	5	21	22	46	40.64	-1.78	0	0	63	0	-9.0	0.023	1
22052104	30.155538	-90.764323	6.116	2445.5	-1763.4	4464.2	153.6	164.9	127.8	2022	5	21	22	48	43.52	0.88	0	0	5	0	-9.0	0.031	1
22052106	30.16877	-90.79056	0.504	-81.5	-296.7	-1148.5	39.6	31.8	36.2	2022	5	21	23	2	34.28	-2.41	0	0	31	0	-9.0	0.02	1
22052107	30.169822	-90.796851	2.3	-687.2	-180.0	647.9	45.4	55.1	27.2	2022	5	21	23	6	28.24	0.2	0	0	69	0	-9.0	0.02	1
22052109	30.176211	-90.783813	1.014	568.2	528.2	-637.9	29.4	37.8	39.9	2022	5	21	23	12	0.84	-2.26	0	0	60	0	-9.0	0.017	1
22052110	30.164642	-90.793506	0.211	-365.2	-754.1	-1441.5	62.2	36.6	50.4	2022	5	21	23	13	47.56	-2.31	0	0	9	0	-9.0	0.022	1
22052111	30.17439	-90.784619	0.533	490.9	326.3	-1119.6	35.3	36.4	45.9	2022	5	21	23	15	29.88	-2.81	0	0	23	0	-9.0	0.015	1
